000001,1,991.5,288,93,94.5
000001,2,1230,199.5,79.5,102
000001,3,991.5,202.5,55.5,81
000002,1,987.9,288,92.7,95.1
000002,2,1227,202.125,79.875,103.125
000002,3,987.5,201.5,55.75,80.25
000003,1,984.3,288,92.4,95.7
000003,2,1224,204.75,80.25,104.25
000003,3,983.5,200.5,56,79.5
000004,1,980.7,288,92.1,96.3
000004,2,1221,207.375,80.625,105.375
000004,3,979.5,199.5,56.25,78.75
000005,1,977.1,288,91.8,96.9
000005,2,1218,210,81,106.5
000005,3,975.5,198.5,56.5,78
000006,1,973.5,288,91.5,97.5
000006,2,1219.5,208.5,81,105.5
000006,3,971.5,197.5,56.75,77.25
000007,1,966.6,291.3,92.7,100.2
000007,2,1221,207,81,104.5
000007,3,967.5,196.5,57,76.5
000008,1,959.7,294.6,93.9,102.9
000008,2,1222.5,205.5,81,103.5
000008,3,972.3,199.8,59.1,77.4
000009,1,952.8,297.9,95.1,105.6
000009,2,1227,211.5,82.5,105
000009,3,977.1,203.1,61.2,78.3
000010,1,945.9,301.2,96.3,108.3
000010,2,1231.5,217.5,84,106.5
000010,3,981.9,206.4,63.3,79.2
000011,1,939,304.5,97.5,111
000011,2,1236,223.5,85.5,108
000011,3,986.7,209.7,65.4,80.1
000012,1,943.125,309.75,94.875,110.625
000012,2,1240.5,229.5,87,109.5
000012,3,991.5,213,67.5,81
000013,1,947.25,315,92.25,110.25
000013,2,1236.5,233,86.5,109.5
000013,3,995.5,212.5,67.75,82.25
000014,1,951.375,320.25,89.625,109.875
000014,2,1232.5,236.5,86,109.5
000014,3,999.5,212,68,83.5
000015,1,955.5,325.5,87,109.5
000015,2,1228.5,240,85.5,109.5
000015,3,1003.5,211.5,68.25,84.75
000016,1,957.75,324,90,111
000016,2,1212,240,87,111.375
000016,3,1007.5,211,68.5,86
000017,1,960,322.5,93,112.5
000017,2,1195.5,240,88.5,113.25
000017,3,1011.5,210.5,68.75,87.25
000018,1,962.25,321,96,114
000018,2,1179,240,90,115.125
000018,3,1015.5,210,69,88.5
000019,1,964.5,319.5,99,115.5
000019,2,1162.5,240,91.5,117
000019,3,1016.5,210.75,69.5,89.25
000020,1,962.625,320.625,97.875,115.5
000020,2,1156.5,247.875,90.75,114.375
000020,3,1017.5,211.5,70,90
000021,1,960.75,321.75,96.75,115.5
000021,2,1150.5,255.75,90,111.75
000021,3,1018.5,212.25,70.5,90.75
000022,1,958.875,322.875,95.625,115.5
000022,2,1144.5,263.625,89.25,109.125
000022,3,1019.5,213,71,91.5
000023,1,957,324,94.5,115.5
000023,2,1138.5,271.5,88.5,106.5
000023,3,1020.5,213.75,71.5,92.25
000024,1,958.2,326.1,96.3,116.4
000024,2,1140,272,91,106.5
000024,3,1021.5,214.5,72,93
000025,1,959.4,328.2,98.1,117.3
000025,2,1141.5,272.5,93.5,106.5
000025,3,1028,216.25,71.75,93.5
000026,1,960.6,330.3,99.9,118.2
000026,2,1143,273,96,106.5
000026,3,1034.5,218,71.5,94
000027,1,961.8,332.4,101.7,119.1
000027,2,1153.5,275.625,96.375,108.375
000027,3,1041,219.75,71.25,94.5
000028,1,963,334.5,103.5,120
000028,2,1164,278.25,96.75,110.25
000028,3,1047.5,221.5,71,95
000029,1,957.75,339,103.5,122.25
000029,2,1174.5,280.875,97.125,112.125
000029,3,1054,223.25,70.75,95.5
000030,1,952.5,343.5,103.5,124.5
000030,2,1185,283.5,97.5,114
000030,3,1060.5,225,70.5,96
000031,1,947.25,348,103.5,126.75
000031,2,1179.38,286.5,98.625,113.625
000031,3,1067,227.25,69.75,95.25
000032,1,942,352.5,103.5,129
000032,2,1173.75,289.5,99.75,113.25
000032,3,1073.5,229.5,69,94.5
000033,1,930.9,359.1,103.2,129
000033,2,1168.13,292.5,100.875,112.875
000033,3,1080,231.75,68.25,93.75
000034,1,919.8,365.7,102.9,129
000034,2,1162.5,295.5,102,112.5
000034,3,1086.5,234,67.5,93
000035,1,908.7,372.3,102.6,129
000035,2,1144.5,299,100,113.5
000035,3,1093,236.25,66.75,92.25
000036,1,897.6,378.9,102.3,129
000036,2,1126.5,302.5,98,114.5
000036,3,1099.5,238.5,66,91.5
000037,1,886.5,385.5,102,129
000037,2,1108.5,306,96,115.5
000037,3,1097.7,240.6,66.9,93.9
000038,1,886.5,400.5,102.75,129.75
000038,2,1095,300,98.5,121
000038,3,1095.9,242.7,67.8,96.3
000039,1,886.5,415.5,103.5,130.5
000039,2,1081.5,294,101,126.5
